"","Region","Search_Term_Value","Year","Search_Term"
"1","North Dakota",100,"2004","Alcohol"
"2","South Dakota",98,"2004","Alcohol"
"3","Alaska",86,"2004","Alcohol"
"4","New Mexico",86,"2004","Alcohol"
"5","Delaware",84,"2004","Alcohol"
"6","Rhode Island",83,"2004","Alcohol"
"7","Wyoming",82,"2004","Alcohol"
"8","Vermont",81,"2004","Alcohol"
"9","Indiana",80,"2004","Alcohol"
"10","Mississippi",79,"2004","Alcohol"
"11","Nebraska",78,"2004","Alcohol"
"12","Idaho",77,"2004","Alcohol"
"13","Kentucky",76,"2004","Alcohol"
"14","Iowa",75,"2004","Alcohol"
"15","Montana",73,"2004","Alcohol"
"16","Maine",73,"2004","Alcohol"
"17","Wisconsin",73,"2004","Alcohol"
"18","Oregon",71,"2004","Alcohol"
"19","West Virginia",69,"2004","Alcohol"
"20","New Hampshire",69,"2004","Alcohol"
"21","Kansas",68,"2004","Alcohol"
"22","Connecticut",68,"2004","Alcohol"
"23","Colorado",68,"2004","Alcohol"
"24","Minnesota",67,"2004","Alcohol"
"25","Pennsylvania",66,"2004","Alcohol"
"26","Michigan",66,"2004","Alcohol"
"27","Arkansas",66,"2004","Alcohol"
"28","Utah",65,"2004","Alcohol"
"29","South Carolina",65,"2004","Alcohol"
"30","Maryland",64,"2004","Alcohol"
"31","North Carolina",64,"2004","Alcohol"
"32","Ohio",63,"2004","Alcohol"
"33","Hawaii",63,"2004","Alcohol"
"34","New York",62,"2004","Alcohol"
"35","Missouri",62,"2004","Alcohol"
"36","Oklahoma",61,"2004","Alcohol"
"37","Texas",61,"2004","Alcohol"
"38","Washington",59,"2004","Alcohol"
"39","Louisiana",59,"2004","Alcohol"
"40","District of Columbia",58,"2004","Alcohol"
"41","Alabama",58,"2004","Alcohol"
"42","Tennessee",58,"2004","Alcohol"
"43","Arizona",57,"2004","Alcohol"
"44","Massachusetts",56,"2004","Alcohol"
"45","New Jersey",56,"2004","Alcohol"
"46","California",56,"2004","Alcohol"
"47","Virginia",55,"2004","Alcohol"
"48","Nevada",54,"2004","Alcohol"
"49","Illinois",53,"2004","Alcohol"
"50","Georgia",53,"2004","Alcohol"
"51","Florida",50,"2004","Alcohol"
"52","North Dakota",100,"2005","Alcohol"
"53","South Dakota",90,"2005","Alcohol"
"54","Montana",77,"2005","Alcohol"
"55","Delaware",75,"2005","Alcohol"
"56","Wyoming",72,"2005","Alcohol"
"57","Alaska",72,"2005","Alcohol"
"58","New Mexico",71,"2005","Alcohol"
"59","Mississippi",70,"2005","Alcohol"
"60","Rhode Island",70,"2005","Alcohol"
"61","Nebraska",69,"2005","Alcohol"
"62","Vermont",68,"2005","Alcohol"
"63","West Virginia",68,"2005","Alcohol"
"64","Pennsylvania",68,"2005","Alcohol"
"65","Maine",67,"2005","Alcohol"
"66","Iowa",67,"2005","Alcohol"
"67","Indiana",66,"2005","Alcohol"
"68","New Hampshire",64,"2005","Alcohol"
"69","Oregon",64,"2005","Alcohol"
"70","Connecticut",64,"2005","Alcohol"
"71","Idaho",64,"2005","Alcohol"
"72","Wisconsin",62,"2005","Alcohol"
"73","Kentucky",62,"2005","Alcohol"
"74","Ohio",61,"2005","Alcohol"
"75","Minnesota",59,"2005","Alcohol"
"76","Washington",59,"2005","Alcohol"
"77","Massachusetts",59,"2005","Alcohol"
"78","Oklahoma",59,"2005","Alcohol"
"79","Michigan",58,"2005","Alcohol"
"80","Hawaii",58,"2005","Alcohol"
"81","Kansas",57,"2005","Alcohol"
"82","Illinois",57,"2005","Alcohol"
"83","Louisiana",57,"2005","Alcohol"
"84","Florida",57,"2005","Alcohol"
"85","Colorado",56,"2005","Alcohol"
"86","Arkansas",56,"2005","Alcohol"
"87","South Carolina",56,"2005","Alcohol"
"88","Missouri",56,"2005","Alcohol"
"89","Nevada",55,"2005","Alcohol"
"90","Maryland",55,"2005","Alcohol"
"91","Alabama",54,"2005","Alcohol"
"92","Tennessee",53,"2005","Alcohol"
"93","Texas",53,"2005","Alcohol"
"94","North Carolina",52,"2005","Alcohol"
"95","Utah",52,"2005","Alcohol"
"96","New York",51,"2005","Alcohol"
"97","Virginia",51,"2005","Alcohol"
"98","California",50,"2005","Alcohol"
"99","Arizona",49,"2005","Alcohol"
"100","District of Columbia",49,"2005","Alcohol"
"101","New Jersey",48,"2005","Alcohol"
"102","Georgia",45,"2005","Alcohol"
"103","North Dakota",100,"2006","Alcohol"
