"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	182	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	134	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	113	23652	477.8	389.7	565.9	44.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	472	97953	481.9	438.4	525.3	22.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	108	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	104	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	84	12493	672.4	536.3	832.4	73.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	453	60147	753.2	683.8	822.5	35.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	51	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	20	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	141	10680	1320.2	1102.3	1538.1	111.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	504	37501	1344.0	1226.6	1461.3	59.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	16	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	18	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	49	4166	1176.2	870.2	1555.0	168.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	228	13501	1688.8	1469.6	1908.0	111.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	225	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	207	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	111	23384	474.7	386.4	563.0	45.1	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	457	98444	464.2	421.7	506.8	21.7	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	145	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	122	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	73	12549	581.7	456.0	731.4	68.1	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	453	60673	746.6	677.9	815.4	35.1	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	72	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	43	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	121	10878	1112.3	914.1	1310.5	101.1	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	472	38326	1231.5	1120.4	1342.6	56.7	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	38	Unreliable	0.0	0.0	0.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	36	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
