"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	14	221625	Unreliable	3.5	10.6	1.7	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	22	96322	22.8	14.3	34.6	4.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	29	249564	11.6	7.8	16.7	2.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	34	79364	42.8	29.7	59.9	7.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	96	251701	38.1	30.9	46.6	3.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	47	72132	65.2	47.9	86.6	9.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	73	224926	32.5	25.4	40.8	3.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	79	60978	129.6	102.6	161.5	14.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	275	220012	125.0	110.2	139.8	7.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	84	42806	196.2	156.5	243.0	21.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	184	171646	107.2	91.7	122.7	7.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	135	33473	403.3	335.3	471.3	34.7	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	467	158860	294.0	267.3	320.6	13.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	153	35584	430.0	361.8	498.1	34.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	433	140248	308.7	279.7	337.8	14.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	177	23624	749.2	638.9	859.6	56.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	847	114849	737.5	687.8	787.2	25.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	207	23652	875.2	756.0	994.4	60.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	917	97953	936.2	875.6	996.8	30.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	169	12493	1352.8	1148.8	1556.7	104.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	983	60147	1634.3	1532.2	1736.5	52.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	259	10680	2425.1	2129.7	2720.4	150.7	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	1194	37501	3183.9	3003.3	3364.5	92.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	113	4166	2712.4	2212.3	3212.6	255.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	499	13501	3696.0	3371.7	4020.3	165.5	0.0%
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	12	219110	Unreliable	2.8	9.6	1.6	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	15	96150	Unreliable	8.7	25.7	4.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	21	248709	8.4	5.2	12.9	1.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	31	79041	39.2	26.6	55.7	7.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	72	251014	28.7	22.4	36.1	3.4	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	43	75271	57.1	41.3	76.9	8.7	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	96	228543	42.0	34.0	51.3	4.3	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	100	63944	156.4	125.7	187.0	15.6	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	263	224184	117.3	103.1	131.5	7.2	0.0%
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	81	43276	187.2	148.6	232.6	20.8	0.0%
