"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	10	35584	Unreliable	13.5	51.7	8.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	13	114849	Unreliable	6.0	19.4	3.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	14	23652	Unreliable	32.4	99.3	15.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	28	97953	28.6	19.0	41.3	5.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	21	60147	34.9	21.6	53.4	7.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	68	37501	181.3	140.8	229.9	22.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	26	13501	192.6	125.8	282.2	37.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	10	160461	Unreliable	3.0	11.5	2.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	13	139993	Unreliable	4.9	15.9	2.6	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	34	98444	34.5	23.9	48.3	5.9	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	30	60673	49.4	33.4	70.6	9.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	60	38326	156.6	119.5	201.5	20.2	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	16	13808	Unreliable	66.2	188.2	29.0	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	14	139783	Unreliable	5.5	16.8	2.7	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	15	116912	Unreliable	7.2	21.2	3.3	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	44	99407	44.3	32.2	59.4	6.7	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	18	62100	Unreliable	17.2	45.8	6.8	0.0%
