"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	10	96322	Unreliable	5.0	19.1	3.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	17	249564	Unreliable	4.0	10.9	1.7	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	21	79364	26.5	16.4	40.4	5.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	16	251701	Unreliable	3.6	10.3	1.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	27	72132	37.4	24.7	54.5	7.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	20	224926	8.9	5.4	13.7	2.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	31	60978	50.8	34.5	72.2	9.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	29	220012	13.2	8.8	18.9	2.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	37	42806	86.4	60.9	119.1	14.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	63	171646	36.7	28.2	47.0	4.6	0.0%
