"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	10	96322	Unreliable	5.0	19.1	3.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	11	249564	Unreliable	2.2	7.9	1.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	17	79364	Unreliable	12.5	34.3	5.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	26	251701	10.3	6.7	15.1	2.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	16	72132	Unreliable	12.7	36.0	5.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	24	224926	10.7	6.8	15.9	2.2	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	40	60978	65.6	46.9	89.3	10.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	103	220012	46.8	37.8	55.9	4.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	29	42806	67.7	45.4	97.3	12.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	76	171646	44.3	34.9	55.4	5.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	67	33473	200.2	155.1	254.2	24.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	184	158860	115.8	99.1	132.6	8.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	73	35584	205.1	160.8	257.9	24.0	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	175	140248	124.8	106.3	143.3	9.4	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	83	23624	351.3	279.8	435.5	38.6	0.0%
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	418	114849	364.0	329.1	398.8	17.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	93	23652	393.2	317.4	481.7	40.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	442	97953	451.2	409.2	493.3	21.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	85	12493	680.4	543.5	841.3	73.8	0.0%
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	524	60147	871.2	796.6	945.8	38.1	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	117	10680	1095.5	897.0	1294.0	101.3	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	687	37501	1832.0	1695.0	1968.9	69.9	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	63	4166	1512.2	1162.1	1934.8	190.5	0.0%
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	270	13501	1999.9	1761.3	2238.4	121.7	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	15	79041	Unreliable	10.6	31.3	4.9	0.0%
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	26	251014	10.4	6.8	15.2	2.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	13	75271	Unreliable	9.2	29.5	4.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	28	228543	12.3	8.1	17.7	2.3	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	41	63944	64.1	46.0	87.0	10.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	78	224184	34.8	27.5	43.4	3.9	0.0%
