Category: All categories

Month,Fast food: (United States)
2004-01,24
2004-02,23
2004-03,25
2004-04,26
2004-05,23
2004-06,18
2004-07,16
2004-08,15
2004-09,18
2004-10,19
2004-11,22
2004-12,18
2005-01,21
2005-02,22
2005-03,22
2005-04,27
2005-05,24
2005-06,17
2005-07,19
2005-08,14
2005-09,17
2005-10,21
2005-11,23
2005-12,16
2006-01,20
2006-02,20
2006-03,21
2006-04,21
2006-05,20
2006-06,16
2006-07,16
2006-08,14
2006-09,17
2006-10,19
2006-11,20
2006-12,17
2007-01,18
2007-02,20
2007-03,20
2007-04,21
2007-05,21
2007-06,17
2007-07,17
2007-08,15
2007-09,18
2007-10,20
2007-11,20
2007-12,16
2008-01,19
2008-02,19
2008-03,19
2008-04,22
2008-05,21
2008-06,17
2008-07,18
2008-08,16
2008-09,17
2008-10,18
2008-11,19
2008-12,17
2009-01,18
2009-02,20
2009-03,21
2009-04,21
2009-05,19
2009-06,19
2009-07,18
2009-08,17
2009-09,19
2009-10,19
2009-11,20
2009-12,17
2010-01,18
2010-02,19
2010-03,21
2010-04,22
2010-05,21
2010-06,17
2010-07,19
2010-08,17
2010-09,20
2010-10,21
2010-11,21
2010-12,18
2011-01,22
2011-02,23
2011-03,26
2011-04,25
2011-05,25
2011-06,28
2011-07,32
2011-08,29
2011-09,32
2011-10,32
2011-11,32
2011-12,29
2012-01,30
2012-02,39
2012-03,98
2012-04,79
2012-05,67
2012-06,100
2012-07,94
2012-08,94
2012-09,83
2012-10,78
2012-11,76
2012-12,74
2013-01,72
2013-02,75
2013-03,73
2013-04,74
2013-05,75
2013-06,75
2013-07,54
2013-08,31
2013-09,26
2013-10,26
2013-11,26
2013-12,25
2014-01,24
2014-02,25
2014-03,30
2014-04,30
2014-05,31
2014-06,29
2014-07,31
2014-08,28
2014-09,30
2014-10,28
2014-11,28
2014-12,28
2015-01,29
2015-02,30
2015-03,32
2015-04,35
2015-05,32
2015-06,36
2015-07,40
2015-08,34
2015-09,34
2015-10,34
2015-11,33
2015-12,33
2016-01,33
2016-02,38
2016-03,38
2016-04,38
2016-05,40
2016-06,44
2016-07,47
2016-08,41
2016-09,41
2016-10,43
2016-11,49
2016-12,52
2017-01,48
2017-02,52
2017-03,58
2017-04,53
2017-05,57
2017-06,65
2017-07,69
2017-08,62
2017-09,59
2017-10,61
2017-11,53
2017-12,59
2018-01,53
2018-02,58
2018-03,66
2018-04,61
2018-05,61
2018-06,70
2018-07,78
2018-08,70
2018-09,65
2018-10,67
2018-11,69
2018-12,74
2019-01,79
2019-02,66
2019-03,68
2019-04,64
2019-05,66
2019-06,73
2019-07,73
2019-08,67
2019-09,60
2019-10,61
2019-11,55
2019-12,59
