Category: All categories

Month,Alcohol: (United States)
2004-01,65
2004-02,67
2004-03,61
2004-04,76
2004-05,67
2004-06,54
2004-07,56
2004-08,58
2004-09,74
2004-10,74
2004-11,79
2004-12,68
2005-01,66
2005-02,67
2005-03,71
2005-04,72
2005-05,71
2005-06,60
2005-07,65
2005-08,60
2005-09,66
2005-10,74
2005-11,73
2005-12,68
2006-01,69
2006-02,65
2006-03,68
2006-04,67
2006-05,65
2006-06,56
2006-07,56
2006-08,56
2006-09,62
2006-10,67
2006-11,63
2006-12,61
2007-01,60
2007-02,64
2007-03,65
2007-04,66
2007-05,61
2007-06,59
2007-07,61
2007-08,59
2007-09,61
2007-10,69
2007-11,65
2007-12,63
2008-01,57
2008-02,60
2008-03,58
2008-04,63
2008-05,57
2008-06,53
2008-07,57
2008-08,53
2008-09,58
2008-10,64
2008-11,63
2008-12,67
2009-01,60
2009-02,66
2009-03,71
2009-04,64
2009-05,67
2009-06,60
2009-07,60
2009-08,59
2009-09,62
2009-10,69
2009-11,69
2009-12,69
2010-01,62
2010-02,66
2010-03,64
2010-04,68
2010-05,63
2010-06,59
2010-07,59
2010-08,61
2010-09,65
2010-10,69
2010-11,69
2010-12,68
2011-01,72
2011-02,71
2011-03,74
2011-04,74
2011-05,70
2011-06,69
2011-07,76
2011-08,71
2011-09,72
2011-10,72
2011-11,76
2011-12,78
2012-01,73
2012-02,80
2012-03,75
2012-04,80
2012-05,76
2012-06,75
2012-07,76
2012-08,77
2012-09,79
2012-10,72
2012-11,73
2012-12,78
2013-01,75
2013-02,79
2013-03,77
2013-04,76
2013-05,78
2013-06,75
2013-07,79
2013-08,75
2013-09,72
2013-10,73
2013-11,76
2013-12,74
2014-01,74
2014-02,74
2014-03,74
2014-04,82
2014-05,75
2014-06,74
2014-07,75
2014-08,74
2014-09,69
2014-10,72
2014-11,74
2014-12,75
2015-01,73
2015-02,71
2015-03,78
2015-04,76
2015-05,72
2015-06,74
2015-07,79
2015-08,79
2015-09,78
2015-10,78
2015-11,74
2015-12,82
2016-01,81
2016-02,78
2016-03,77
2016-04,79
2016-05,86
2016-06,81
2016-07,84
2016-08,75
2016-09,77
2016-10,85
2016-11,77
2016-12,86
2017-01,80
2017-02,79
2017-03,81
2017-04,85
2017-05,87
2017-06,88
2017-07,95
2017-08,84
2017-09,77
2017-10,84
2017-11,86
2017-12,92
2018-01,86
2018-02,86
2018-03,86
2018-04,87
2018-05,85
2018-06,91
2018-07,96
2018-08,90
2018-09,88
2018-10,87
2018-11,85
2018-12,96
2019-01,90
2019-02,86
2019-03,86
2019-04,87
2019-05,94
2019-06,94
2019-07,93
2019-08,92
2019-09,91
2019-10,87
2019-11,89
2019-12,100
