Category: All categories

Month,Chest pain: (United States)
2004-01,26
2004-02,27
2004-03,27
2004-04,25
2004-05,27
2004-06,26
2004-07,29
2004-08,25
2004-09,36
2004-10,32
2004-11,31
2004-12,32
2005-01,31
2005-02,28
2005-03,30
2005-04,30
2005-05,33
2005-06,28
2005-07,30
2005-08,31
2005-09,32
2005-10,28
2005-11,32
2005-12,28
2006-01,31
2006-02,29
2006-03,34
2006-04,29
2006-05,30
2006-06,29
2006-07,32
2006-08,30
2006-09,31
2006-10,31
2006-11,30
2006-12,28
2007-01,30
2007-02,31
2007-03,30
2007-04,26
2007-05,27
2007-06,28
2007-07,30
2007-08,29
2007-09,30
2007-10,34
2007-11,31
2007-12,31
2008-01,33
2008-02,36
2008-03,32
2008-04,32
2008-05,30
2008-06,32
2008-07,32
2008-08,31
2008-09,33
2008-10,34
2008-11,36
2008-12,33
2009-01,37
2009-02,39
2009-03,39
2009-04,35
2009-05,36
2009-06,35
2009-07,39
2009-08,34
2009-09,38
2009-10,48
2009-11,40
2009-12,37
2010-01,40
2010-02,43
2010-03,39
2010-04,37
2010-05,36
2010-06,34
2010-07,36
2010-08,40
2010-09,39
2010-10,38
2010-11,38
2010-12,35
2011-01,46
2011-02,48
2011-03,50
2011-04,44
2011-05,44
2011-06,44
2011-07,47
2011-08,47
2011-09,49
2011-10,52
2011-11,50
2011-12,51
2012-01,59
2012-02,62
2012-03,55
2012-04,54
2012-05,54
2012-06,51
2012-07,56
2012-08,56
2012-09,57
2012-10,58
2012-11,56
2012-12,54
2013-01,62
2013-02,56
2013-03,61
2013-04,58
2013-05,53
2013-06,57
2013-07,57
2013-08,57
2013-09,56
2013-10,57
2013-11,57
2013-12,57
2014-01,61
2014-02,63
2014-03,59
2014-04,61
2014-05,60
2014-06,59
2014-07,61
2014-08,59
2014-09,60
2014-10,61
2014-11,59
2014-12,64
2015-01,64
2015-02,65
2015-03,67
2015-04,64
2015-05,58
2015-06,62
2015-07,65
2015-08,63
2015-09,63
2015-10,66
2015-11,65
2015-12,62
2016-01,72
2016-02,73
2016-03,77
2016-04,66
2016-05,67
2016-06,65
2016-07,66
2016-08,63
2016-09,69
2016-10,71
2016-11,66
2016-12,73
2017-01,80
2017-02,79
2017-03,75
2017-04,73
2017-05,75
2017-06,76
2017-07,79
2017-08,79
2017-09,79
2017-10,82
2017-11,83
2017-12,81
2018-01,90
2018-02,100
2018-03,90
2018-04,89
2018-05,83
2018-06,82
2018-07,88
2018-08,84
2018-09,85
2018-10,84
2018-11,89
2018-12,88
2019-01,91
2019-02,95
2019-03,91
2019-04,88
2019-05,82
2019-06,81
2019-07,84
2019-08,83
2019-09,85
2019-10,89
2019-11,88
2019-12,89
