Category: All categories

Month,Cholesterol: (United States)
2004-01,82
2004-02,85
2004-03,92
2004-04,88
2004-05,85
2004-06,80
2004-07,100
2004-08,92
2004-09,100
2004-10,81
2004-11,90
2004-12,75
2005-01,90
2005-02,90
2005-03,80
2005-04,84
2005-05,81
2005-06,69
2005-07,74
2005-08,79
2005-09,79
2005-10,78
2005-11,70
2005-12,64
2006-01,71
2006-02,75
2006-03,75
2006-04,69
2006-05,68
2006-06,67
2006-07,62
2006-08,68
2006-09,74
2006-10,75
2006-11,63
2006-12,62
2007-01,73
2007-02,76
2007-03,74
2007-04,73
2007-05,69
2007-06,72
2007-07,69
2007-08,74
2007-09,80
2007-10,86
2007-11,81
2007-12,68
2008-01,84
2008-02,76
2008-03,74
2008-04,74
2008-05,62
2008-06,68
2008-07,72
2008-08,68
2008-09,69
2008-10,74
2008-11,76
2008-12,61
2009-01,73
2009-02,75
2009-03,75
2009-04,74
2009-05,67
2009-06,72
2009-07,72
2009-08,71
2009-09,77
2009-10,77
2009-11,75
2009-12,62
2010-01,72
2010-02,75
2010-03,78
2010-04,72
2010-05,65
2010-06,64
2010-07,62
2010-08,62
2010-09,69
2010-10,73
2010-11,68
2010-12,57
2011-01,66
2011-02,71
2011-03,75
2011-04,66
2011-05,60
2011-06,62
2011-07,59
2011-08,61
2011-09,67
2011-10,68
2011-11,65
2011-12,58
2012-01,68
2012-02,71
2012-03,70
2012-04,66
2012-05,64
2012-06,61
2012-07,59
2012-08,62
2012-09,64
2012-10,67
2012-11,63
2012-12,54
2013-01,62
2013-02,67
2013-03,67
2013-04,68
2013-05,60
2013-06,58
2013-07,60
2013-08,60
2013-09,68
2013-10,70
2013-11,75
2013-12,56
2014-01,63
2014-02,66
2014-03,68
2014-04,67
2014-05,63
2014-06,60
2014-07,60
2014-08,58
2014-09,64
2014-10,69
2014-11,63
2014-12,56
2015-01,62
2015-02,68
2015-03,67
2015-04,62
2015-05,57
2015-06,62
2015-07,61
2015-08,58
2015-09,67
2015-10,70
2015-11,66
2015-12,57
2016-01,60
2016-02,65
2016-03,68
2016-04,69
2016-05,60
2016-06,59
2016-07,56
2016-08,59
2016-09,63
2016-10,65
2016-11,60
2016-12,50
2017-01,62
2017-02,66
2017-03,70
2017-04,65
2017-05,61
2017-06,63
2017-07,61
2017-08,65
2017-09,67
2017-10,73
2017-11,70
2017-12,57
2018-01,71
2018-02,75
2018-03,74
2018-04,77
2018-05,64
2018-06,67
2018-07,68
2018-08,67
2018-09,76
2018-10,76
2018-11,74
2018-12,64
2019-01,77
2019-02,83
2019-03,90
2019-04,84
2019-05,76
2019-06,75
2019-07,73
2019-08,78
2019-09,80
2019-10,84
2019-11,80
2019-12,70
