Category: All categories

Month,Cigarette: (United States)
2004-01,60
2004-02,62
2004-03,59
2004-04,63
2004-05,64
2004-06,52
2004-07,56
2004-08,54
2004-09,58
2004-10,61
2004-11,70
2004-12,55
2005-01,56
2005-02,54
2005-03,60
2005-04,59
2005-05,56
2005-06,49
2005-07,53
2005-08,51
2005-09,46
2005-10,50
2005-11,50
2005-12,45
2006-01,42
2006-02,43
2006-03,45
2006-04,46
2006-05,46
2006-06,40
2006-07,41
2006-08,40
2006-09,40
2006-10,43
2006-11,43
2006-12,41
2007-01,43
2007-02,39
2007-03,40
2007-04,41
2007-05,40
2007-06,37
2007-07,39
2007-08,35
2007-09,38
2007-10,47
2007-11,42
2007-12,38
2008-01,41
2008-02,39
2008-03,41
2008-04,44
2008-05,44
2008-06,43
2008-07,45
2008-08,39
2008-09,44
2008-10,51
2008-11,50
2008-12,50
2009-01,50
2009-02,56
2009-03,89
2009-04,84
2009-05,66
2009-06,71
2009-07,69
2009-08,62
2009-09,78
2009-10,75
2009-11,70
2009-12,70
2010-01,77
2010-02,65
2010-03,67
2010-04,68
2010-05,75
2010-06,75
2010-07,72
2010-08,67
2010-09,72
2010-10,77
2010-11,72
2010-12,70
2011-01,80
2011-02,76
2011-03,77
2011-04,73
2011-05,69
2011-06,77
2011-07,75
2011-08,72
2011-09,76
2011-10,76
2011-11,74
2011-12,73
2012-01,80
2012-02,78
2012-03,72
2012-04,73
2012-05,76
2012-06,72
2012-07,74
2012-08,74
2012-09,74
2012-10,72
2012-11,72
2012-12,76
2013-01,83
2013-02,81
2013-03,83
2013-04,93
2013-05,87
2013-06,92
2013-07,96
2013-08,96
2013-09,97
2013-10,89
2013-11,94
2013-12,90
2014-01,100
2014-02,96
2014-03,94
2014-04,91
2014-05,88
2014-06,81
2014-07,85
2014-08,78
2014-09,78
2014-10,78
2014-11,74
2014-12,81
2015-01,73
2015-02,72
2015-03,70
2015-04,71
2015-05,67
2015-06,68
2015-07,69
2015-08,67
2015-09,66
2015-10,67
2015-11,66
2015-12,65
2016-01,66
2016-02,62
2016-03,63
2016-04,65
2016-05,65
2016-06,63
2016-07,64
2016-08,58
2016-09,62
2016-10,62
2016-11,69
2016-12,63
2017-01,61
2017-02,63
2017-03,68
2017-04,72
2017-05,68
2017-06,69
2017-07,74
2017-08,67
2017-09,62
2017-10,68
2017-11,66
2017-12,62
2018-01,64
2018-02,63
2018-03,62
2018-04,62
2018-05,63
2018-06,63
2018-07,64
2018-08,69
2018-09,61
2018-10,64
2018-11,68
2018-12,64
2019-01,63
2019-02,64
2019-03,64
2019-04,60
2019-05,62
2019-06,68
2019-07,67
2019-08,65
2019-09,70
2019-10,66
2019-11,59
2019-12,61
