Category: All categories

Month,Cocaine: (United States)
2004-01,62
2004-02,70
2004-03,74
2004-04,78
2004-05,68
2004-06,55
2004-07,76
2004-08,58
2004-09,62
2004-10,75
2004-11,75
2004-12,66
2005-01,63
2005-02,65
2005-03,71
2005-04,74
2005-05,78
2005-06,54
2005-07,54
2005-08,54
2005-09,100
2005-10,78
2005-11,77
2005-12,71
2006-01,69
2006-02,66
2006-03,68
2006-04,69
2006-05,70
2006-06,53
2006-07,59
2006-08,52
2006-09,63
2006-10,71
2006-11,63
2006-12,62
2007-01,61
2007-02,67
2007-03,58
2007-04,60
2007-05,80
2007-06,57
2007-07,51
2007-08,47
2007-09,53
2007-10,63
2007-11,65
2007-12,62
2008-01,58
2008-02,59
2008-03,61
2008-04,61
2008-05,61
2008-06,50
2008-07,48
2008-08,43
2008-09,47
2008-10,52
2008-11,51
2008-12,50
2009-01,43
2009-02,49
2009-03,55
2009-04,53
2009-05,61
2009-06,50
2009-07,42
2009-08,51
2009-09,46
2009-10,51
2009-11,49
2009-12,49
2010-01,44
2010-02,44
2010-03,48
2010-04,50
2010-05,50
2010-06,40
2010-07,47
2010-08,51
2010-09,56
2010-10,57
2010-11,56
2010-12,52
2011-01,55
2011-02,59
2011-03,65
2011-04,54
2011-05,54
2011-06,55
2011-07,53
2011-08,52
2011-09,55
2011-10,56
2011-11,57
2011-12,62
2012-01,57
2012-02,63
2012-03,59
2012-04,64
2012-05,58
2012-06,47
2012-07,50
2012-08,48
2012-09,52
2012-10,50
2012-11,49
2012-12,51
2013-01,50
2013-02,54
2013-03,52
2013-04,55
2013-05,58
2013-06,52
2013-07,54
2013-08,51
2013-09,56
2013-10,57
2013-11,60
2013-12,54
2014-01,62
2014-02,61
2014-03,61
2014-04,61
2014-05,63
2014-06,56
2014-07,54
2014-08,57
2014-09,56
2014-10,56
2014-11,57
2014-12,61
2015-01,65
2015-02,59
2015-03,61
2015-04,64
2015-05,59
2015-06,60
2015-07,60
2015-08,56
2015-09,63
2015-10,69
2015-11,60
2015-12,63
2016-01,68
2016-02,71
2016-03,72
2016-04,68
2016-05,67
2016-06,64
2016-07,65
2016-08,59
2016-09,77
2016-10,75
2016-11,73
2016-12,81
2017-01,75
2017-02,80
2017-03,82
2017-04,86
2017-05,87
2017-06,80
2017-07,86
2017-08,77
2017-09,78
2017-10,96
2017-11,85
2017-12,80
2018-01,83
2018-02,84
2018-03,89
2018-04,80
2018-05,77
2018-06,79
2018-07,79
2018-08,81
2018-09,78
2018-10,75
2018-11,76
2018-12,84
2019-01,75
2019-02,78
2019-03,80
2019-04,77
2019-05,77
2019-06,79
2019-07,80
2019-08,75
2019-09,78
2019-10,74
2019-11,72
2019-12,82
