Category: All categories

Month,chest pain: (United States),stress: (United States),Cocaine: (United States),Cigarettes: (United States),Cholesterol: (United States)
2004-01,10,80,40,35,46
2004-02,10,92,42,37,48
2004-03,9,98,46,33,54
2004-04,9,98,48,36,48
2004-05,10,86,44,44,47
2004-06,9,86,34,34,44
2004-07,11,74,49,36,57
2004-08,9,74,37,32,52
2004-09,13,94,39,34,56
2004-10,12,93,46,35,54
2004-11,11,100,45,41,50
2004-12,12,81,41,34,41
2005-01,11,85,40,36,51
2005-02,11,80,43,33,52
2005-03,11,81,45,36,48
2005-04,11,85,47,35,47
2005-05,12,77,49,32,45
2005-06,10,70,36,30,42
2005-07,11,68,36,30,43
2005-08,11,63,35,30,45
2005-09,12,75,59,28,44
2005-10,11,90,52,30,44
2005-11,11,87,47,27,43
2005-12,10,73,46,23,36
2006-01,11,69,43,25,45
2006-02,11,81,42,24,44
2006-03,12,89,47,26,43
2006-04,11,88,46,27,42
2006-05,11,75,44,25,38
2006-06,11,61,39,23,38
2006-07,11,59,36,22,38
2006-08,11,62,35,23,40
2006-09,12,76,45,25,42
2006-10,11,84,53,25,39
2006-11,11,81,47,25,40
2006-12,10,63,44,23,36
2007-01,11,69,42,26,42
2007-02,11,79,42,25,48
2007-03,11,76,44,26,38
2007-04,10,76,44,23,36
2007-05,10,72,55,22,36
2007-06,10,66,39,22,39
2007-07,11,61,34,23,34
2007-08,10,62,32,21,37
2007-09,11,73,33,22,43
2007-10,12,85,40,23,48
2007-11,12,84,42,22,46
2007-12,11,62,43,20,36
2008-01,12,64,38,19,44
2008-02,14,78,39,20,43
2008-03,12,75,39,21,40
2008-04,12,83,41,21,42
2008-05,11,72,43,18,31
2008-06,12,65,37,21,36
2008-07,12,60,32,21,35
2008-08,11,61,27,19,34
2008-09,12,73,32,21,37
2008-10,12,80,35,23,42
2008-11,13,78,34,25,42
2008-12,12,67,31,23,33
2009-01,13,64,29,22,41
2009-02,14,85,32,27,43
2009-03,14,81,36,45,42
2009-04,13,90,36,42,41
2009-05,13,81,41,32,38
2009-06,13,65,34,35,41
2009-07,14,63,29,35,40
2009-08,13,62,33,31,43
2009-09,14,74,28,37,41
2009-10,15,86,31,36,44
2009-11,14,83,30,36,43
2009-12,13,68,29,35,37
2010-01,15,64,25,35,41
2010-02,16,78,29,32,44
2010-03,14,78,30,32,45
2010-04,14,81,34,33,43
2010-05,14,73,30,35,37
2010-06,13,65,22,34,37
2010-07,13,63,30,34,33
2010-08,14,61,31,33,34
2010-09,14,77,32,34,37
2010-10,14,77,33,33,40
2010-11,14,76,36,34,38
2010-12,14,67,33,31,29
2011-01,17,66,35,36,40
2011-02,19,80,35,33,42
2011-03,19,81,39,37,45
2011-04,17,83,35,39,39
2011-05,17,73,32,34,36
2011-06,16,67,32,37,36
2011-07,17,70,33,36,35
2011-08,17,67,33,35,36
2011-09,18,77,34,37,39
2011-10,19,80,36,36,41
2011-11,19,79,37,34,40
2011-12,18,69,41,33,34
2012-01,21,68,40,38,39
2012-02,21,78,42,35,43
2012-03,21,78,45,33,45
2012-04,20,80,43,37,39
2012-05,20,74,44,37,39
2012-06,19,62,35,35,36
2012-07,20,61,33,37,36
2012-08,20,70,33,36,38
2012-09,21,76,36,37,40
2012-10,22,84,34,36,42
2012-11,20,75,32,35,37
2012-12,20,65,34,35,32
2013-01,24,66,42,39,39
2013-02,22,78,34,39,41
2013-03,21,78,34,40,39
2013-04,21,82,35,39,41
2013-05,21,74,35,41,38
2013-06,20,65,33,43,36
2013-07,21,61,33,43,38
2013-08,21,67,34,41,38
2013-09,20,81,31,40,39
2013-10,22,81,33,41,43
2013-11,22,79,34,39,47
2013-12,22,68,32,39,34
2014-01,22,70,34,44,39
2014-02,22,76,35,42,40
2014-03,23,80,37,41,40
2014-04,23,82,37,39,40
2014-05,22,78,36,37,37
2014-06,21,64,30,35,35
2014-07,22,67,31,36,36
2014-08,22,65,32,35,35
2014-09,23,80,35,34,40
2014-10,23,80,34,34,42
2014-11,21,75,33,33,38
2014-12,23,70,34,34,33
2015-01,23,69,41,31,38
2015-02,24,79,34,29,42
2015-03,24,81,35,31,38
2015-04,23,84,36,31,37
2015-05,21,71,35,30,34
2015-06,23,67,36,30,37
2015-07,23,67,33,32,36
2015-08,23,67,33,30,36
2015-09,24,82,36,32,40
2015-10,24,83,40,34,41
2015-11,24,83,34,31,38
2015-12,23,73,34,30,34
2016-01,26,70,41,31,36
2016-02,27,84,38,31,39
2016-03,27,85,37,29,42
2016-04,24,87,36,31,39
2016-05,25,78,37,32,36
2016-06,25,69,34,31,34
2016-07,24,63,34,33,31
2016-08,24,65,30,30,35
2016-09,25,84,41,31,38
2016-10,26,83,39,31,37
2016-11,25,83,33,34,35
2016-12,26,77,37,30,33
2017-01,30,78,35,31,37
2017-02,29,90,36,32,42
2017-03,28,91,37,32,42
