Category: All categories

Month,alcohol: (United States),stress: (United States)
2004-01,67,33
2004-02,68,38
2004-03,69,40
2004-04,78,40
2004-05,71,36
2004-06,55,35
2004-07,61,31
2004-08,60,31
2004-09,70,39
2004-10,74,39
2004-11,77,41
2004-12,71,33
2005-01,70,35
2005-02,69,33
2005-03,71,33
2005-04,74,35
2005-05,72,32
2005-06,61,29
2005-07,66,28
2005-08,62,26
2005-09,68,31
2005-10,79,37
2005-11,80,36
2005-12,72,30
2006-01,68,29
2006-02,65,34
2006-03,74,37
2006-04,67,36
2006-05,69,31
2006-06,58,25
2006-07,58,24
2006-08,58,26
2006-09,61,31
2006-10,67,35
2006-11,64,33
2006-12,62,26
2007-01,61,28
2007-02,62,32
2007-03,61,31
2007-04,64,31
2007-05,63,30
2007-06,62,27
2007-07,60,25
2007-08,58,26
2007-09,62,30
2007-10,70,35
2007-11,64,35
2007-12,63,26
2008-01,59,26
2008-02,60,32
2008-03,59,31
2008-04,64,34
2008-05,61,30
2008-06,57,27
2008-07,57,25
2008-08,54,25
2008-09,60,30
2008-10,64,33
2008-11,67,32
2008-12,64,28
2009-01,65,26
2009-02,67,35
2009-03,70,34
2009-04,70,37
2009-05,66,34
2009-06,64,27
2009-07,60,26
2009-08,61,26
2009-09,65,30
2009-10,70,36
2009-11,71,34
2009-12,68,28
2010-01,62,26
2010-02,66,32
2010-03,66,32
2010-04,68,34
2010-05,65,30
2010-06,60,27
2010-07,61,26
2010-08,61,25
2010-09,65,32
2010-10,70,32
2010-11,69,31
2010-12,69,28
2011-01,72,27
2011-02,73,33
2011-03,71,34
2011-04,72,34
2011-05,71,30
2011-06,71,28
2011-07,76,29
2011-08,70,27
2011-09,74,32
2011-10,75,33
2011-11,79,33
2011-12,79,29
2012-01,74,28
2012-02,77,32
2012-03,75,32
2012-04,78,33
2012-05,76,31
2012-06,78,26
2012-07,75,25
2012-08,77,29
2012-09,76,32
2012-10,75,35
2012-11,75,31
2012-12,80,27
2013-01,80,27
2013-02,80,32
2013-03,81,32
2013-04,80,34
2013-05,81,30
2013-06,78,27
2013-07,78,25
2013-08,77,28
2013-09,70,33
2013-10,73,34
2013-11,76,33
2013-12,75,28
2014-01,76,29
2014-02,75,31
2014-03,78,33
2014-04,79,34
2014-05,79,32
2014-06,75,27
2014-07,76,28
2014-08,73,27
2014-09,76,33
2014-10,73,33
2014-11,84,31
2014-12,77,29
2015-01,73,28
2015-02,75,33
2015-03,77,34
2015-04,78,35
2015-05,75,29
2015-06,77,28
2015-07,78,28
2015-08,75,28
2015-09,76,34
2015-10,80,34
2015-11,76,34
2015-12,79,30
2016-01,81,29
2016-02,81,35
2016-03,79,35
2016-04,81,36
2016-05,85,32
2016-06,83,28
2016-07,90,26
2016-08,74,27
2016-09,81,35
2016-10,84,34
2016-11,80,34
2016-12,87,32
2017-01,80,32
2017-02,80,37
2017-03,81,38
2017-04,87,37
2017-05,91,33
2017-06,87,29
2017-07,95,29
2017-08,85,30
2017-09,80,32
2017-10,84,37
2017-11,87,36
2017-12,91,32
2018-01,87,31
2018-02,88,37
2018-03,86,36
2018-04,87,36
2018-05,86,33
2018-06,92,31
2018-07,98,29
2018-08,92,31
2018-09,90,36
2018-10,88,37
2018-11,91,36
2018-12,97,33
2019-01,90,32
2019-02,88,36
2019-03,90,37
2019-04,89,39
2019-05,94,33
2019-06,96,32
2019-07,97,29
2019-08,94,31
2019-09,94,35
2019-10,88,37
2019-11,97,34
2019-12,100,31
