Category: All categories

Month,fast food: (United States),stress: (United States),statin: (United States)
2004-01,29,78,3
2004-02,26,89,3
2004-03,29,95,5
2004-04,30,95,4
2004-05,30,84,5
2004-06,22,83,5
2004-07,21,72,5
2004-08,18,72,4
2004-09,20,91,5
2004-10,24,91,4
2004-11,27,97,4
2004-12,22,78,4
2005-01,24,82,4
2005-02,24,78,4
2005-03,27,78,3
2005-04,33,82,4
2005-05,28,74,4
2005-06,22,68,4
2005-07,22,66,3
2005-08,18,62,3
2005-09,21,72,3
2005-10,24,87,3
2005-11,26,85,4
2005-12,19,71,3
2006-01,22,67,4
2006-02,25,79,4
2006-03,25,86,4
2006-04,26,85,4
2006-05,25,73,3
2006-06,20,60,3
2006-07,20,58,4
2006-08,18,60,3
2006-09,21,74,3
2006-10,25,82,4
2006-11,33,79,3
2006-12,24,61,3
2007-01,23,67,3
2007-02,24,76,3
2007-03,25,74,3
2007-04,27,74,3
2007-05,25,70,3
2007-06,22,64,3
2007-07,21,59,3
2007-08,19,60,3
2007-09,22,71,3
2007-10,23,82,3
2007-11,21,82,3
2007-12,21,60,3
2008-01,23,62,4
2008-02,24,75,4
2008-03,23,73,3
2008-04,25,80,3
2008-05,24,70,3
2008-06,18,63,3
2008-07,20,59,3
2008-08,19,59,3
2008-09,20,71,3
2008-10,22,78,3
2008-11,23,76,4
2008-12,19,65,3
2009-01,20,62,3
2009-02,22,82,3
2009-03,25,79,3
2009-04,24,88,3
2009-05,22,79,3
2009-06,21,63,3
2009-07,21,62,3
2009-08,20,61,3
2009-09,19,71,3
2009-10,23,84,3
2009-11,24,80,3
2009-12,21,66,2
2010-01,23,62,3
2010-02,22,76,3
2010-03,25,76,3
2010-04,28,79,3
2010-05,25,71,2
2010-06,21,63,3
2010-07,22,61,3
2010-08,22,59,3
2010-09,23,75,2
2010-10,25,74,3
2010-11,26,73,3
2010-12,22,65,2
2011-01,27,64,2
2011-02,28,78,3
2011-03,30,79,3
2011-04,33,81,3
2011-05,30,71,3
2011-06,33,65,3
2011-07,37,68,3
2011-08,34,65,3
2011-09,35,74,3
2011-10,35,78,3
2011-11,36,77,3
2011-12,35,67,2
2012-01,36,66,3
2012-02,42,76,4
2012-03,100,76,4
2012-04,84,77,3
2012-05,72,72,3
2012-06,98,61,3
2012-07,97,60,2
2012-08,90,68,3
2012-09,86,74,3
2012-10,78,81,3
2012-11,78,73,3
2012-12,78,63,2
2013-01,75,64,2
2013-02,73,76,2
2013-03,74,76,3
2013-04,71,80,3
2013-05,75,72,3
2013-06,76,63,3
2013-07,57,59,3
2013-08,36,65,3
2013-09,32,79,3
2013-10,31,79,3
2013-11,32,76,5
2013-12,34,66,3
2014-01,30,68,3
2014-02,31,74,3
2014-03,35,78,3
2014-04,36,80,3
2014-05,37,75,3
2014-06,34,62,3
2014-07,36,65,3
2014-08,34,63,3
2014-09,36,77,3
2014-10,33,78,3
2014-11,35,73,3
2014-12,36,68,3
2015-01,37,67,3
2015-02,35,77,3
2015-03,37,79,4
2015-04,40,81,3
2015-05,38,69,3
2015-06,40,65,4
2015-07,45,65,4
2015-08,40,65,3
2015-09,40,80,4
2015-10,39,81,4
2015-11,38,81,3
2015-12,42,71,3
2016-01,40,68,3
2016-02,41,82,3
2016-03,43,83,4
2016-04,44,85,4
2016-05,47,76,4
2016-06,48,67,3
2016-07,53,61,3
2016-08,46,63,3
2016-09,44,81,3
2016-10,49,81,3
2016-11,46,81,4
2016-12,51,75,3
2017-01,49,76,3
2017-02,49,87,4
2017-03,54,88,4
2017-04,55,88,4
2017-05,55,78,4
2017-06,62,67,3
2017-07,66,67,4
2017-08,59,70,4
2017-09,54,76,4
2017-10,58,88,3
2017-11,57,85,4
2017-12,61,76,3
2018-01,54,73,4
2018-02,57,86,4
2018-03,62,84,4
2018-04,60,85,4
2018-05,63,79,4
2018-06,68,72,4
2018-07,74,68,4
2018-08,67,73,4
2018-09,62,84,4
2018-10,63,87,4
2018-11,65,85,4
2018-12,71,77,4
2019-01,77,76,4
2019-02,68,84,4
2019-03,70,88,5
2019-04,70,91,4
2019-05,75,79,4
2019-06,80,75,4
2019-07,86,69,4
2019-08,81,72,4
2019-09,76,81,4
2019-10,75,88,4
2019-11,74,80,4
2019-12,83,73,4
