Category: All categories

Month,ketogenic diet: (United States),statin: (United States)
2004-01,0,23
2004-02,7,22
2004-03,10,34
2004-04,7,27
2004-05,3,34
2004-06,6,33
2004-07,5,37
2004-08,3,33
2004-09,2,34
2004-10,4,30
2004-11,5,31
2004-12,3,28
2005-01,3,30
2005-02,5,26
2005-03,5,25
2005-04,5,26
2005-05,5,32
2005-06,4,26
2005-07,3,25
2005-08,4,26
2005-09,4,22
2005-10,4,25
2005-11,3,29
2005-12,2,21
2006-01,4,29
2006-02,4,26
2006-03,6,29
2006-04,4,26
2006-05,4,24
2006-06,3,24
2006-07,5,26
2006-08,5,25
2006-09,2,22
2006-10,4,27
2006-11,3,24
2006-12,4,22
2007-01,5,24
2007-02,4,25
2007-03,4,23
2007-04,4,23
2007-05,2,20
2007-06,3,21
2007-07,3,25
2007-08,4,25
2007-09,4,24
2007-10,4,24
2007-11,4,22
2007-12,3,22
2008-01,4,28
2008-02,4,27
2008-03,5,22
2008-04,5,26
2008-05,5,22
2008-06,4,25
2008-07,5,25
2008-08,5,24
2008-09,4,19
2008-10,4,19
2008-11,5,33
2008-12,4,22
2009-01,5,22
2009-02,5,23
2009-03,5,25
2009-04,6,24
2009-05,4,20
2009-06,4,22
2009-07,5,22
2009-08,5,23
2009-09,5,22
2009-10,5,22
2009-11,5,23
2009-12,4,17
2010-01,6,20
2010-02,6,23
2010-03,5,23
2010-04,5,22
2010-05,5,18
2010-06,5,21
2010-07,5,20
2010-08,5,21
2010-09,5,18
2010-10,5,19
2010-11,4,19
2010-12,5,16
2011-01,6,18
2011-02,6,20
2011-03,7,21
2011-04,8,20
2011-05,7,20
2011-06,6,21
2011-07,7,19
2011-08,6,19
2011-09,6,19
2011-10,6,20
2011-11,6,19
2011-12,6,16
2012-01,7,24
2012-02,7,29
2012-03,8,30
2012-04,10,22
2012-05,9,19
2012-06,9,20
2012-07,8,18
2012-08,8,19
2012-09,9,19
2012-10,9,23
2012-11,8,23
2012-12,15,17
2013-01,12,17
2013-02,12,18
2013-03,16,22
2013-04,13,22
2013-05,12,19
2013-06,17,19
2013-07,16,20
2013-08,15,20
2013-09,18,20
2013-10,16,20
2013-11,14,41
2013-12,13,23
2014-01,21,23
2014-02,20,21
2014-03,21,24
2014-04,20,22
2014-05,21,22
2014-06,19,23
2014-07,18,24
2014-08,22,23
2014-09,22,23
2014-10,24,25
2014-11,18,24
2014-12,17,21
2015-01,24,22
2015-02,23,24
2015-03,24,28
2015-04,24,26
2015-05,23,23
2015-06,25,26
2015-07,27,30
2015-08,24,26
2015-09,23,27
2015-10,22,28
2015-11,22,25
2015-12,21,24
2016-01,28,23
2016-02,35,25
2016-03,34,26
2016-04,40,29
2016-05,44,26
2016-06,37,24
2016-07,40,24
2016-08,41,24
2016-09,39,25
2016-10,40,24
2016-11,34,27
2016-12,40,23
2017-01,51,25
2017-02,44,28
2017-03,56,28
2017-04,69,28
2017-05,69,26
2017-06,69,26
2017-07,66,26
2017-08,78,28
2017-09,59,26
2017-10,66,25
2017-11,56,28
2017-12,61,24
2018-01,90,26
2018-02,75,28
2018-03,62,28
2018-04,72,29
2018-05,100,30
2018-06,70,28
2018-07,68,28
2018-08,58,28
2018-09,46,30
2018-10,34,31
2018-11,27,30
2018-12,30,27
2019-01,41,29
2019-02,30,32
2019-03,28,34
2019-04,25,31
2019-05,21,28
2019-06,21,29
2019-07,20,28
2019-08,19,32
2019-09,18,29
2019-10,15,30
2019-11,15,29
2019-12,14,27
