Category: All categories

Month,Diet: (United States)
2004-01,100
2004-02,76
2004-03,71
2004-04,70
2004-05,72
2004-06,63
2004-07,62
2004-08,54
2004-09,55
2004-10,50
2004-11,51
2004-12,43
2005-01,64
2005-02,55
2005-03,57
2005-04,59
2005-05,57
2005-06,54
2005-07,55
2005-08,49
2005-09,46
2005-10,47
2005-11,44
2005-12,40
2006-01,66
2006-02,52
2006-03,55
2006-04,54
2006-05,53
2006-06,52
2006-07,51
2006-08,47
2006-09,46
2006-10,44
2006-11,45
2006-12,38
2007-01,61
2007-02,55
2007-03,54
2007-04,55
2007-05,52
2007-06,56
2007-07,53
2007-08,46
2007-09,50
2007-10,48
2007-11,43
2007-12,41
2008-01,63
2008-02,51
2008-03,54
2008-04,56
2008-05,49
2008-06,49
2008-07,53
2008-08,52
2008-09,47
2008-10,48
2008-11,46
2008-12,44
2009-01,60
2009-02,56
2009-03,55
2009-04,56
2009-05,54
2009-06,52
2009-07,52
2009-08,52
2009-09,49
2009-10,50
2009-11,45
2009-12,44
2010-01,65
2010-02,56
2010-03,57
2010-04,55
2010-05,56
2010-06,51
2010-07,49
2010-08,50
2010-09,48
2010-10,48
2010-11,44
2010-12,39
2011-01,66
2011-02,61
2011-03,60
2011-04,61
2011-05,58
2011-06,54
2011-07,55
2011-08,52
2011-09,51
2011-10,51
2011-11,50
2011-12,45
2012-01,71
2012-02,63
2012-03,61
2012-04,64
2012-05,57
2012-06,58
2012-07,59
2012-08,56
2012-09,50
2012-10,49
2012-11,45
2012-12,45
2013-01,65
2013-02,65
2013-03,65
2013-04,63
2013-05,60
2013-06,59
2013-07,56
2013-08,52
2013-09,49
2013-10,48
2013-11,46
2013-12,44
2014-01,62
2014-02,57
2014-03,60
2014-04,55
2014-05,53
2014-06,51
2014-07,48
2014-08,44
2014-09,45
2014-10,42
2014-11,37
2014-12,38
2015-01,55
2015-02,46
2015-03,51
2015-04,50
2015-05,46
2015-06,49
2015-07,47
2015-08,44
2015-09,41
2015-10,40
2015-11,37
2015-12,36
2016-01,53
2016-02,48
2016-03,50
2016-04,50
2016-05,47
2016-06,46
2016-07,45
2016-08,46
2016-09,40
2016-10,39
2016-11,33
2016-12,34
2017-01,51
2017-02,50
2017-03,50
2017-04,49
2017-05,47
2017-06,45
2017-07,48
2017-08,44
2017-09,42
2017-10,43
2017-11,37
2017-12,39
2018-01,64
2018-02,58
2018-03,56
2018-04,62
2018-05,62
2018-06,55
2018-07,60
2018-08,56
2018-09,50
2018-10,47
2018-11,45
2018-12,47
2019-01,73
2019-02,62
2019-03,58
2019-04,55
2019-05,51
2019-06,50
2019-07,50
2019-08,46
2019-09,43
2019-10,43
2019-11,41
2019-12,39
