Category: All categories

Month,Exercise: (United States)
2004-01,90
2004-02,86
2004-03,88
2004-04,80
2004-05,73
2004-06,74
2004-07,72
2004-08,69
2004-09,71
2004-10,72
2004-11,68
2004-12,71
2005-01,100
2005-02,88
2005-03,87
2005-04,75
2005-05,74
2005-06,70
2005-07,72
2005-08,68
2005-09,68
2005-10,72
2005-11,74
2005-12,69
2006-01,95
2006-02,80
2006-03,78
2006-04,75
2006-05,71
2006-06,69
2006-07,69
2006-08,67
2006-09,66
2006-10,70
2006-11,69
2006-12,66
2007-01,87
2007-02,74
2007-03,74
2007-04,73
2007-05,70
2007-06,68
2007-07,69
2007-08,70
2007-09,68
2007-10,71
2007-11,69
2007-12,64
2008-01,88
2008-02,79
2008-03,74
2008-04,79
2008-05,68
2008-06,72
2008-07,70
2008-08,66
2008-09,63
2008-10,64
2008-11,68
2008-12,65
2009-01,85
2009-02,76
2009-03,75
2009-04,73
2009-05,72
2009-06,72
2009-07,70
2009-08,71
2009-09,68
2009-10,70
2009-11,71
2009-12,70
2010-01,82
2010-02,81
2010-03,79
2010-04,78
2010-05,68
2010-06,70
2010-07,61
2010-08,59
2010-09,63
2010-10,61
2010-11,63
2010-12,56
2011-01,82
2011-02,79
2011-03,77
2011-04,71
2011-05,72
2011-06,72
2011-07,71
2011-08,65
2011-09,69
2011-10,67
2011-11,68
2011-12,63
2012-01,85
2012-02,82
2012-03,80
2012-04,79
2012-05,71
2012-06,75
2012-07,78
2012-08,73
2012-09,71
2012-10,67
2012-11,66
2012-12,59
2013-01,87
2013-02,81
2013-03,84
2013-04,82
2013-05,77
2013-06,76
2013-07,79
2013-08,70
2013-09,70
2013-10,71
2013-11,71
2013-12,68
2014-01,83
2014-02,81
2014-03,79
2014-04,79
2014-05,73
2014-06,73
2014-07,71
2014-08,66
2014-09,72
2014-10,71
2014-11,66
2014-12,65
2015-01,84
2015-02,79
2015-03,82
2015-04,80
2015-05,73
2015-06,74
2015-07,67
2015-08,65
2015-09,72
2015-10,73
2015-11,69
2015-12,65
2016-01,82
2016-02,84
2016-03,80
2016-04,80
2016-05,74
2016-06,69
2016-07,67
2016-08,70
2016-09,74
2016-10,68
2016-11,70
2016-12,64
2017-01,86
2017-02,82
2017-03,83
2017-04,82
2017-05,73
2017-06,70
2017-07,69
2017-08,66
2017-09,83
2017-10,72
2017-11,71
2017-12,61
2018-01,82
2018-02,84
2018-03,78
2018-04,81
2018-05,73
2018-06,69
2018-07,72
2018-08,72
2018-09,68
2018-10,71
2018-11,70
2018-12,65
2019-01,85
2019-02,82
2019-03,78
2019-04,79
2019-05,69
2019-06,70
2019-07,66
2019-08,66
2019-09,71
2019-10,69
2019-11,69
2019-12,64
