Category: All categories

Month,Statin: (United States)
2004-01,54
2004-02,61
2004-03,87
2004-04,70
2004-05,76
2004-06,95
2004-07,90
2004-08,70
2004-09,77
2004-10,80
2004-11,71
2004-12,68
2005-01,70
2005-02,64
2005-03,64
2005-04,62
2005-05,75
2005-06,64
2005-07,59
2005-08,59
2005-09,48
2005-10,56
2005-11,60
2005-12,48
2006-01,67
2006-02,56
2006-03,66
2006-04,59
2006-05,52
2006-06,55
2006-07,53
2006-08,51
2006-09,51
2006-10,57
2006-11,52
2006-12,46
2007-01,53
2007-02,58
2007-03,53
2007-04,56
2007-05,48
2007-06,51
2007-07,58
2007-08,59
2007-09,56
2007-10,55
2007-11,54
2007-12,51
2008-01,67
2008-02,67
2008-03,51
2008-04,61
2008-05,46
2008-06,56
2008-07,63
2008-08,57
2008-09,48
2008-10,46
2008-11,86
2008-12,56
2009-01,54
2009-02,57
2009-03,62
2009-04,64
2009-05,51
2009-06,52
2009-07,55
2009-08,55
2009-09,53
2009-10,53
2009-11,60
2009-12,45
2010-01,48
2010-02,55
2010-03,57
2010-04,55
2010-05,49
2010-06,51
2010-07,48
2010-08,55
2010-09,46
2010-10,51
2010-11,45
2010-12,39
2011-01,48
2011-02,51
2011-03,53
2011-04,49
2011-05,49
2011-06,53
2011-07,47
2011-08,48
2011-09,47
2011-10,49
2011-11,49
2011-12,42
2012-01,63
2012-02,71
2012-03,81
2012-04,56
2012-05,52
2012-06,53
2012-07,45
2012-08,48
2012-09,46
2012-10,54
2012-11,53
2012-12,45
2013-01,44
2013-02,48
2013-03,55
2013-04,51
2013-05,50
2013-06,54
2013-07,52
2013-08,53
2013-09,53
2013-10,49
2013-11,100
2013-12,57
2014-01,58
2014-02,53
2014-03,60
2014-04,57
2014-05,55
2014-06,51
2014-07,53
2014-08,55
2014-09,62
2014-10,60
2014-11,57
2014-12,48
2015-01,58
2015-02,57
2015-03,62
2015-04,59
2015-05,51
2015-06,64
2015-07,64
2015-08,62
2015-09,58
2015-10,64
2015-11,61
2015-12,55
2016-01,51
2016-02,60
2016-03,55
2016-04,65
2016-05,55
2016-06,55
2016-07,53
2016-08,52
2016-09,54
2016-10,55
2016-11,55
2016-12,47
2017-01,53
2017-02,61
2017-03,61
2017-04,60
2017-05,55
2017-06,55
2017-07,56
2017-08,57
2017-09,55
2017-10,62
2017-11,52
2017-12,50
2018-01,54
2018-02,58
2018-03,64
2018-04,64
2018-05,56
2018-06,58
2018-07,59
2018-08,60
2018-09,58
2018-10,62
2018-11,64
2018-12,56
2019-01,65
2019-02,69
2019-03,70
2019-04,69
2019-05,61
2019-06,61
2019-07,63
2019-08,59
2019-09,64
2019-10,65
2019-11,64
2019-12,58
