Category: All categories

Month,Stress: (United States)
2004-01,78
2004-02,83
2004-03,95
2004-04,95
2004-05,83
2004-06,72
2004-07,80
2004-08,74
2004-09,96
2004-10,92
2004-11,100
2004-12,86
2005-01,75
2005-02,82
2005-03,82
2005-04,95
2005-05,77
2005-06,70
2005-07,65
2005-08,61
2005-09,75
2005-10,83
2005-11,84
2005-12,69
2006-01,65
2006-02,78
2006-03,85
2006-04,88
2006-05,79
2006-06,58
2006-07,59
2006-08,58
2006-09,74
2006-10,83
2006-11,78
2006-12,61
2007-01,67
2007-02,77
2007-03,76
2007-04,76
2007-05,70
2007-06,64
2007-07,60
2007-08,62
2007-09,70
2007-10,84
2007-11,82
2007-12,65
2008-01,63
2008-02,76
2008-03,74
2008-04,82
2008-05,74
2008-06,61
2008-07,62
2008-08,57
2008-09,68
2008-10,80
2008-11,77
2008-12,65
2009-01,63
2009-02,82
2009-03,79
2009-04,87
2009-05,78
2009-06,64
2009-07,60
2009-08,60
2009-09,73
2009-10,82
2009-11,78
2009-12,68
2010-01,63
2010-02,77
2010-03,80
2010-04,79
2010-05,71
2010-06,62
2010-07,61
2010-08,59
2010-09,73
2010-10,76
2010-11,73
2010-12,63
2011-01,69
2011-02,78
2011-03,82
2011-04,80
2011-05,72
2011-06,66
2011-07,63
2011-08,64
2011-09,76
2011-10,78
2011-11,77
2011-12,67
2012-01,66
2012-02,77
2012-03,78
2012-04,78
2012-05,72
2012-06,61
2012-07,60
2012-08,68
2012-09,73
2012-10,78
2012-11,73
2012-12,64
2013-01,64
2013-02,78
2013-03,73
2013-04,82
2013-05,72
2013-06,62
2013-07,61
2013-08,65
2013-09,76
2013-10,81
2013-11,76
2013-12,66
2014-01,66
2014-02,79
2014-03,77
2014-04,80
2014-05,77
2014-06,61
2014-07,65
2014-08,66
2014-09,76
2014-10,78
2014-11,73
2014-12,69
2015-01,69
2015-02,74
2015-03,79
2015-04,85
2015-05,69
2015-06,64
2015-07,65
2015-08,65
2015-09,79
2015-10,82
2015-11,85
2015-12,72
2016-01,70
2016-02,85
2016-03,83
2016-04,85
2016-05,76
2016-06,65
2016-07,64
2016-08,64
2016-09,82
2016-10,81
2016-11,81
2016-12,78
2017-01,76
2017-02,88
2017-03,86
2017-04,88
2017-05,76
2017-06,67
2017-07,70
2017-08,70
2017-09,77
2017-10,89
2017-11,86
2017-12,77
2018-01,75
2018-02,87
2018-03,85
2018-04,86
2018-05,76
2018-06,70
2018-07,66
2018-08,74
2018-09,83
2018-10,90
2018-11,84
2018-12,77
2019-01,75
2019-02,89
2019-03,90
2019-04,90
2019-05,80
2019-06,72
2019-07,69
2019-08,73
2019-09,84
2019-10,90
2019-11,82
2019-12,75
