Category: All categories

Region,Chest pain: (2018)
Kentucky,100
West Virginia,96
Alabama,87
Mississippi,86
Texas,85
Tennessee,85
Pennsylvania,83
Georgia,82
Ohio,81
Indiana,80
Michigan,80
Virginia,80
Louisiana,78
South Carolina,78
Arkansas,77
Missouri,76
Maine,76
New Hampshire,76
Oklahoma,75
Rhode Island,75
North Carolina,75
North Dakota,75
Illinois,75
Vermont,73
Maryland,73
South Dakota,73
Delaware,72
Florida,72
Idaho,70
Kansas,70
Wisconsin,69
New York,68
New Jersey,68
Nebraska,67
Alaska,67
Montana,66
New Mexico,66
Colorado,65
Connecticut,65
California,65
Arizona,64
Hawaii,64
Minnesota,64
Wyoming,64
Massachusetts,64
Iowa,63
Washington,62
Nevada,61
Utah,59
Oregon,58
District of Columbia,48
