Category: All categories

Region,Fast food: (2010)
Nevada,100
Indiana,94
Kansas,93
Kentucky,93
Nebraska,89
Mississippi,88
Arizona,87
Oklahoma,86
Delaware,85
Missouri,82
Arkansas,82
Alabama,81
Michigan,77
Ohio,76
Minnesota,76
Tennessee,76
Louisiana,76
Utah,75
South Carolina,75
North Carolina,75
Iowa,75
South Dakota,75
Wyoming,74
Oregon,74
Texas,72
New Mexico,71
West Virginia,70
California,70
Colorado,69
Idaho,68
Hawaii,68
Georgia,66
Wisconsin,66
North Dakota,65
Illinois,65
Maryland,63
Washington,60
Vermont,60
Florida,57
Pennsylvania,57
Rhode Island,55
District of Columbia,54
New Jersey,53
Virginia,51
Maine,51
Montana,50
Connecticut,50
Alaska,45
New York,44
Massachusetts,44
New Hampshire,40
