Category: All categories

Region,Alcohol: (2013)
Pennsylvania,100
Massachusetts,97
Missouri,92
New Mexico,92
New Hampshire,91
Washington,91
Minnesota,90
Indiana,87
Michigan,87
Kentucky,87
Ohio,86
Illinois,86
Nebraska,86
Maine,86
Florida,85
Georgia,85
Alaska,84
West Virginia,84
Colorado,83
District of Columbia,83
Arkansas,83
Louisiana,82
Connecticut,82
Wisconsin,82
Virginia,81
North Dakota,81
Maryland,80
Iowa,80
Vermont,80
Montana,80
New York,79
Nevada,79
California,79
Oklahoma,79
Delaware,78
South Dakota,78
Idaho,78
Wyoming,78
Tennessee,77
Rhode Island,76
North Carolina,76
South Carolina,76
Arizona,75
Alabama,75
Kansas,75
Hawaii,74
Mississippi,74
New Jersey,74
Texas,70
Utah,69
Oregon,62
