Category: All categories

Region,Cholesterol: (2007)
Delaware,100
West Virginia,92
Mississippi,90
Maryland,85
Tennessee,84
Louisiana,84
Rhode Island,83
Alabama,83
North Carolina,83
Maine,82
South Dakota,81
Oklahoma,80
New York,80
Indiana,79
South Carolina,78
Montana,78
Nebraska,78
Kentucky,77
Wisconsin,76
District of Columbia,76
Missouri,76
New Mexico,75
Florida,75
Connecticut,74
Colorado,74
Arizona,73
Texas,73
North Dakota,73
Iowa,73
Minnesota,72
Oregon,72
Arkansas,72
Massachusetts,71
Virginia,71
New Jersey,71
Ohio,71
Nevada,71
Idaho,71
Michigan,70
Georgia,69
Alaska,69
Pennsylvania,69
Kansas,67
Illinois,67
New Hampshire,67
Washington,67
Vermont,65
California,65
Utah,64
Hawaii,63
Wyoming,59
