Category: All categories

Region,Cigarette: (2011)
West Virginia,100
Kentucky,89
Indiana,88
Ohio,82
Illinois,81
Florida,81
Pennsylvania,81
Vermont,80
North Dakota,78
Rhode Island,77
New Mexico,77
Maine,75
Connecticut,75
South Dakota,75
Virginia,75
Arkansas,74
Michigan,74
Missouri,74
New York,74
Tennessee,73
New Jersey,73
New Hampshire,73
Oklahoma,73
North Carolina,73
Hawaii,72
Mississippi,71
Georgia,71
Arizona,71
Alabama,69
Alaska,69
Louisiana,69
South Carolina,68
Massachusetts,68
Montana,68
Delaware,68
Wyoming,68
Wisconsin,68
Kansas,68
Nevada,66
Washington,66
District of Columbia,66
Maryland,65
Nebraska,65
Texas,64
Minnesota,64
Iowa,63
California,63
Idaho,63
Colorado,61
Oregon,59
Utah,47
