Category: All categories

Region,Cocaine: (2017)
Nevada,100
Massachusetts,98
Colorado,93
Florida,92
New York,91
Michigan,89
California,89
Rhode Island,88
Pennsylvania,88
Connecticut,87
Illinois,86
District of Columbia,86
Vermont,85
Georgia,83
Arizona,83
Kentucky,82
Texas,80
North Carolina,80
Ohio,80
New Jersey,80
Oregon,79
West Virginia,79
New Mexico,79
Louisiana,77
South Carolina,77
Tennessee,76
Delaware,76
Wisconsin,74
Indiana,74
Virginia,74
Hawaii,74
New Hampshire,73
Alabama,73
Washington,72
Maine,71
Maryland,70
Alaska,69
Missouri,68
Wyoming,66
Minnesota,65
Mississippi,64
North Dakota,63
Nebraska,60
Montana,59
Idaho,59
Arkansas,59
Kansas,57
Oklahoma,57
South Dakota,56
Utah,55
Iowa,54
