Category: All categories

Region,Diet: (2007)
West Virginia,100
Texas,98
Alabama,98
Arkansas,92
Tennessee,92
Florida,91
Louisiana,90
Mississippi,89
South Carolina,88
Kentucky,88
Georgia,87
Missouri,84
Arizona,81
South Dakota,81
Oklahoma,80
North Carolina,80
Michigan,80
North Dakota,79
Kansas,79
Montana,78
Idaho,78
Ohio,78
Wyoming,78
New Mexico,78
Pennsylvania,77
Indiana,77
Virginia,76
Washington,75
Alaska,75
Delaware,74
New Jersey,74
Maryland,74
New York,73
Maine,73
Iowa,73
Oregon,73
Vermont,73
Nebraska,73
Illinois,72
Nevada,72
California,72
Connecticut,72
Wisconsin,71
Colorado,71
Rhode Island,68
Minnesota,68
New Hampshire,67
District of Columbia,66
Massachusetts,65
Utah,65
Hawaii,63
