Category: All categories

Region,Exercise: (2011)
South Dakota,100
Delaware,94
Utah,92
Kentucky,90
Missouri,90
Virginia,90
Iowa,90
West Virginia,89
Vermont,89
North Dakota,88
Indiana,87
North Carolina,87
South Carolina,86
Alabama,86
Montana,86
Wisconsin,86
Idaho,85
Pennsylvania,85
Wyoming,85
Tennessee,84
New Jersey,84
Kansas,82
New Hampshire,82
Hawaii,82
Ohio,82
Connecticut,82
Maryland,82
Alaska,82
Mississippi,81
Oregon,81
Oklahoma,80
Washington,80
Rhode Island,79
Georgia,79
Colorado,79
Florida,79
Massachusetts,79
New Mexico,78
California,77
Louisiana,77
Maine,77
Minnesota,76
Arizona,75
Michigan,75
Illinois,75
Arkansas,75
Texas,74
New York,72
Nebraska,72
District of Columbia,68
Nevada,66
