Category: All categories

Region,Ketogenic diet: (2011)
Wyoming,100
South Dakota,72
Hawaii,68
Rhode Island,66
Oregon,65
Kansas,64
Washington,64
Idaho,62
Missouri,61
Florida,60
Nebraska,59
New Jersey,59
Maryland,58
Arizona,55
Massachusetts,54
Alabama,53
Virginia,53
Connecticut,53
New Hampshire,53
Oklahoma,52
Michigan,52
North Dakota,52
Colorado,52
Ohio,52
Montana,51
Utah,50
Minnesota,50
Indiana,50
Mississippi,50
California,49
Illinois,49
Maine,48
North Carolina,48
Pennsylvania,48
Tennessee,48
Wisconsin,47
Louisiana,47
Nevada,45
Georgia,45
Texas,45
New York,44
Kentucky,43
Arkansas,43
South Carolina,42
District of Columbia,42
West Virginia,42
Iowa,42
Delaware,35
Vermont,35
Alaska,34
New Mexico,29
