Category: All categories

Region,Statin: (2009)
Delaware,100
Nebraska,97
Oregon,94
Alabama,93
North Dakota,93
New Mexico,91
New Hampshire,90
Idaho,89
West Virginia,82
Oklahoma,81
Massachusetts,81
Wisconsin,81
Michigan,80
Minnesota,79
Connecticut,78
Maryland,78
Pennsylvania,77
Montana,77
Rhode Island,76
Wyoming,76
North Carolina,76
Missouri,74
Texas,74
Washington,74
Indiana,73
Tennessee,71
Colorado,70
Arkansas,70
Nevada,68
South Dakota,68
District of Columbia,68
Iowa,68
Arizona,67
Florida,67
New Jersey,65
New York,65
Illinois,65
Vermont,63
Ohio,63
Louisiana,62
Georgia,61
Hawaii,60
Kentucky,59
Utah,58
South Carolina,58
Mississippi,58
Alaska,55
Kansas,54
California,47
Maine,44
Virginia,43
