Category: All categories

Region,Stress: (2004)
North Dakota,100
Wyoming,93
Mississippi,92
New Mexico,90
Delaware,90
Vermont,88
Nebraska,86
Indiana,86
Kentucky,84
Iowa,83
West Virginia,82
Alaska,82
Oklahoma,80
Maine,79
Utah,78
Hawaii,75
New Hampshire,74
Pennsylvania,74
New Jersey,73
Tennessee,72
Wisconsin,72
Michigan,72
Louisiana,72
Minnesota,72
Idaho,71
Missouri,71
Kansas,71
North Carolina,71
Rhode Island,70
Ohio,69
South Dakota,69
South Carolina,68
Maryland,68
Alabama,67
Connecticut,67
Illinois,66
Virginia,66
Arkansas,66
Montana,64
Arizona,64
Oregon,63
Colorado,63
Florida,62
Georgia,61
Massachusetts,60
Nevada,59
Washington,59
California,57
Texas,57
District of Columbia,57
New York,54
